Algorithm,Input Type,n min ,t min (ms),n max,t max (ms),
SelectionSort,Sorted array,7500,37,1000000,705559,
SelectionSort,Constant array,7500,37,1000000,694690,
SelectionSort,Random array,7500,37,1000000,713504,
InsertionSort,Sorted array,13000000,30,200000000,472,
InsertionSort,Constant array,15000000,35,200000000,463,
InsertionSort,Random array,9000,34,1000000,452128,
MergeSort,Sorted array,700000,36,200000000,14821,
MergeSort,Constant array,700000,36,200000000,14935,
MergeSort,Random array,300000,33,200000000,27725,
QuickSort,Sorted array,500000,32,200000000,405087,
QuickSort,Constant array,7500,34,1000000,653506,
QuickSort,Random array,250000,30,40000000,26450,
